ds,yhat,yhat_lower,yhat_upper
2023-01-01 00:00:00,10.352696479213463,2.190309216076557,18.019752928789252
2023-01-01 01:00:00,14.429019556623615,7.241631576970819,22.076993190394006
2023-01-01 02:00:00,25.40327402152976,17.87973030638943,32.81312319450171
2023-01-01 03:00:00,39.08837716613891,30.931084004481015,46.63293023661828
2023-01-01 04:00:00,51.717038582401734,43.83946484958042,59.812571874344485
2023-01-01 05:00:00,61.993748653799734,54.66599848620141,69.70215243204836
2023-01-01 06:00:00,70.77025660214352,62.837508053794814,78.29325368059861
2023-01-01 07:00:00,79.0638585222031,71.58950991673748,87.05573962239971
2023-01-01 08:00:00,86.53917530766326,78.00624118514843,93.87686996417543
2023-01-01 09:00:00,91.85058916089537,84.18218025246733,99.70297121056024
2023-01-01 10:00:00,94.236281055049,86.6224398570762,102.0558504309949
2023-01-01 11:00:00,94.51663302472119,86.76556323207656,102.52798032109823
2023-01-01 12:00:00,94.37306200278162,87.3013692066575,101.94627230502577
2023-01-01 13:00:00,94.64658686322474,86.72709018869129,102.17278088391137
2023-01-01 14:00:00,94.44684600377329,86.62859085285405,102.15834133031358
2023-01-01 15:00:00,92.0238395389153,83.6778291091042,99.93942014312915
2023-01-01 16:00:00,86.51059187853704,79.01407985693832,94.39378492606225
2023-01-01 17:00:00,78.72161867811809,71.26921692095004,86.95879487620235
2023-01-01 18:00:00,70.17298900668484,62.51188563138757,77.73460986061379
2023-01-01 19:00:00,61.387657772943776,54.152542009043636,68.6982302279133
2023-01-01 20:00:00,51.392506946821285,43.455056884889295,58.915691141704336
2023-01-01 21:00:00,39.16006810916968,32.563021844436946,46.402804451286315
2023-01-01 22:00:00,25.692450547719076,18.05224212058465,33.631624221399164
2023-01-01 23:00:00,14.567165142428685,7.373110935496691,21.96268029974361
2023-01-02 00:00:00,10.046433784272956,2.704160009109114,17.186407820989245
2023-01-02 01:00:00,14.143995640308361,6.739995448895739,21.921478063467436
2023-01-02 02:00:00,25.142574511971674,17.36305826463199,32.15544433161619
2023-01-02 03:00:00,38.85428381178726,31.044159246780897,46.20954702906189
2023-01-02 04:00:00,51.51099850114851,43.83960167590428,59.178147645829014
2023-01-02 05:00:00,61.816355908820064,53.61315073217083,69.59703916496018
2023-01-02 06:00:00,70.62124635369537,62.98704436336928,78.65185667493286
2023-01-02 07:00:00,78.94211381907118,71.10952035966179,86.2681608856215
2023-01-02 08:00:00,86.44274643565369,78.67801966283015,93.90340440022635
2023-01-02 09:00:00,91.77672528323097,83.62192750311756,99.96424388261933
2023-01-02 10:00:00,94.18147372838757,86.43434417066628,101.46896349001622
2023-01-02 11:00:00,94.4766710025786,86.80438780505067,101.83543496549332
2023-01-02 12:00:00,94.34309660070684,86.99432209893246,101.84357554800017
2023-01-02 13:00:00,94.62120701093546,87.08471260169352,102.13708374893415
2023-01-02 14:00:00,94.42016198181929,86.81261714447065,102.09466890166128
2023-01-02 15:00:00,91.9895742807766,84.520754523872,100.08670360154096
2023-01-02 16:00:00,86.46217861540788,78.86717115259249,94.30014837281973
2023-01-02 17:00:00,78.65230361660645,71.48209534922832,86.71652369837669
2023-01-02 18:00:00,70.07593766388726,63.29220434257388,77.89282633135247
2023-01-02 19:00:00,61.25606353146999,53.18411886695968,68.70691316244842
2023-01-02 20:00:00,51.21970036981692,43.529632638634254,59.36803010243851
2023-01-02 21:00:00,38.939625533328766,31.964844309403638,46.721892774305594
2023-01-02 22:00:00,25.418300479135738,18.089509341426858,32.87620555788257
2023-01-02 23:00:00,14.233691003269556,6.800562228663159,21.864254960720405
2023-01-03 00:00:00,9.648571601837432,2.1376439016493953,17.225860713502414
2023-01-03 01:00:00,13.677325324189617,6.21198412490543,20.904276510661585
2023-01-03 02:00:00,24.603403457879104,16.686716936021085,31.44809689401506
2023-01-03 03:00:00,38.239721649755126,29.84741554229021,45.524475822464204
2023-01-03 04:00:00,50.81902192526444,43.512944110766185,58.413553369678716
2023-01-03 05:00:00,61.04586264580013,53.67085343004113,68.50711114797888
2023-01-03 06:00:00,69.77209746854473,62.007247614507676,77.36445737248542
2023-01-03 07:00:00,78.01516369990749,70.50966814196218,85.56740788256069
2023-01-03 08:00:00,85.43985995826176,77.95280666237002,92.84235525944263
2023-01-03 09:00:00,90.70078182111448,83.08637678335351,98.29949172462139
2023-01-03 10:00:00,93.03635783486666,84.85357743881,100.55470460346316
2023-01-03 11:00:00,93.26724977602902,85.88345234282967,100.89529091744576
2023-01-03 12:00:00,93.07518390018618,85.76207874837056,101.07760640414642
2023-01-03 13:00:00,93.30151487174356,86.1742878974914,100.77760874887095
2023-01-03 14:00:00,93.05623973966787,85.56023865712287,100.54203142019693
2023-01-03 15:00:00,90.58973607607791,82.48351142814359,98.38783299524677
2023-01-03 16:00:00,85.03542010091975,77.32009494708883,93.178397290246
2023-01-03 17:00:00,77.20820883597341,69.08575905346864,84.68997244046871
2023-01-03 18:00:00,68.62457719444899,61.14867016377135,76.61228997692845
2023-01-03 19:00:00,59.80788510590935,52.110716538882535,67.62175957850894
2023-01-03 20:00:00,49.78541329502286,42.48252612275454,57.4657844516242
2023-01-03 21:00:00,37.530080307701596,29.95591087186464,45.532379865612484
2023-01-03 22:00:00,24.044365074743453,16.840303687860782,32.255042640543074
2023-01-03 23:00:00,12.906125333839483,5.582184039618947,20.843615210409325
2023-01-04 00:00:00,8.377901740368387,0.4879176892669009,15.92660906088874
2023-01-04 01:00:00,12.473719017897729,5.380271477872085,20.521804177378026
2023-01-04 02:00:00,23.476548509462404,16.1782863244148,31.58986685892145
2023-01-04 03:00:00,37.198708684239904,30.045741987165894,45.261282023332846
2023-01-04 04:00:00,49.87223303447289,42.22127525311362,57.5576903685181
2023-01-04 05:00:00,60.20086732073494,52.37526869007928,67.38392409773886
2023-01-04 06:00:00,69.03555715667042,61.26625743809441,76.47508187095482
2023-01-04 07:00:00,77.39274621978171,69.81684517456627,85.02204323758964
2023-01-04 08:00:00,84.93616489149238,77.4232111830358,92.63851232114766
2023-01-04 09:00:00,90.31927786649278,82.5347194160279,97.95342470533706
2023-01-04 10:00:00,92.77933297102966,84.30876561899854,100.3592857502964
2023-01-04 11:00:00,93.13577492231477,84.87292031603924,100.67550245171023
2023-01-04 12:00:00,93.06909060381554,85.85564123517003,100.62264276122083
2023-01-04 13:00:00,93.41938737688325,86.0792045088806,100.99972610792561
2023-01-04 14:00:00,93.29542162229521,85.57451833187896,100.80147909286312
2023-01-04 15:00:00,90.94635144844912,83.23667583067038,98.452785458732
2023-01-04 16:00:00,85.5044092101343,78.29632612260053,92.68901419370687
2023-01-04 17:00:00,77.78337770723682,69.77864456985539,85.49910169468592
2023-01-04 18:00:00,69.29866079151344,61.25350551392319,76.75213363422719
2023-01-04 19:00:00,60.57262332514572,53.80697247861942,67.67899447663135
2023-01-04 20:00:00,50.63163893272134,43.050750201311644,58.777663423264514
2023-01-04 21:00:00,38.44781800349947,30.421169250296757,45.90113237408571
2023-01-04 22:00:00,25.02294011309244,17.40735142599671,32.44252812432997
2023-01-04 23:00:00,13.934281020626251,5.4587743433383,21.210947004571462
2023-01-05 00:00:00,9.443923993605154,1.671355701810305,17.283413680126326
2023-01-05 01:00:00,13.565566724199059,5.759642261977427,21.46596805383259
2023-01-05 02:00:00,24.58198810208672,16.48024074946838,31.96669220317369
2023-01-05 03:00:00,38.30545136471807,30.320774390263246,45.196753439493946
2023-01-05 04:00:00,50.968073006226774,43.54667084466237,58.33107400978302
2023-01-05 05:00:00,61.273819401980816,53.26933283266955,69.89591664102721
